PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
10	1		runnable	  1	6	0	3	6	0	0	0
11	1		runnable	  1	5	0	4	5	0	0	0
12	1		runnable	  1	4	0	5	4	0	0	0
13	1		runnable	  1	3	0	6	3	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	35	0	0	0	0
2	1		sleeping	  1	0	0	1	33	0	0	0
3	2		runnable	  3	2	0	1	7	2	0	0
4	0		runnable	  0	1	0	10	0	0	0	0
5	0		runnable	  0	1	0	10	0	0	0	0
6	0		runnable	  0	1	0	10	0	0	0	0
7	0		runnable	  0	1	0	10	0	0	0	0
8	0		runnable	  0	1	0	10	0	0	0	0
9	1		running 	  3	6	0	2	8	0	0	0
10	1		runnable	  1	7	0	3	7	0	0	0
11	1		runnable	  1	6	0	4	6	0	0	0
12	1		runnable	  1	5	0	5	5	0	0	0
13	1		runnable	  1	4	0	6	4	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	36	0	0	0	0
2	1		sleeping	  1	0	0	1	34	0	0	0
3	2		runnable	  3	3	0	1	7	3	0	0
4	0		sleeping	  0	1	0	11	0	0	0	0
5	0		sleeping	  0	1	0	11	0	0	0	0
6	0		sleeping	  0	1	0	11	0	0	0	0
7	0		sleeping	  0	1	0	11	0	0	0	0
8	0		sleeping	  0	1	0	11	0	0	0	0
9	2		runnable	  3	1	0	2	8	1	0	0
10	1		running 	  2	7	0	3	8	0	0	0
11	1		runnable	  1	7	0	4	7	0	0	0
12	1		runnable	  1	6	0	5	6	0	0	0
13	1		runnable	  1	5	0	6	5	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	37	0	0	0	0
2	1		sleeping	  1	0	0	1	35	0	0	0
3	2		runnable	  3	4	0	1	7	4	0	0
4	0		runnable	  0	1	0	12	0	0	0	0
5	0		runnable	  0	1	0	12	0	0	0	0
6	0		runnable	  0	1	0	12	0	0	0	0
7	0		runnable	  0	1	0	12	0	0	0	0
8	0		runnable	  0	1	0	12	0	0	0	0
